date,open,high,low,close,price_change
2015-01-01,0.82722,0.83258,0.82716,0.82717,0.0
2015-01-04,0.83647,0.84111,0.83501,0.83707,1.19685
2015-01-05,0.83764,0.84126,0.83542,0.83759,0.0621214
2015-01-06,0.84212,0.84717,0.84034,0.84208,0.536062
2015-01-07,0.84467,0.85063,0.84402,0.84488,0.33251
2015-01-08,0.84787,0.84974,0.84472,0.84774,0.33851
2015-01-11,0.84245,0.84832,0.84232,0.84241,-0.628731
2015-01-12,0.84514,0.85059,0.84324,0.8452,0.331193
2015-01-13,0.84913,0.85247,0.84434,0.84902,0.451964
2015-01-14,0.84862,0.86264,0.84828,0.84847,-0.0647806
2015-01-15,0.85918,0.87227,0.85837,0.8593,1.27642
2015-01-18,0.86477,0.8655,0.8592,0.8646,0.616781
2015-01-19,0.86229,0.86436,0.86088,0.86222,-0.275272
2015-01-20,0.86605,0.86627,0.85734,0.86603,0.441883
2015-01-21,0.86081,0.87612,0.85889,0.86093,-0.588894
2015-01-22,0.88133,0.89914,0.8792,0.88131,2.36721
2015-01-25,0.8976,0.8976,0.88621,0.89884,1.98908
2015-01-26,0.88881,0.89079,0.87566,0.88907,-1.08696
2015-01-27,0.87974,0.88435,0.87858,0.87971,-1.05279
2015-01-28,0.88615,0.88778,0.87966,0.88641,0.761615
2015-01-29,0.88204,0.88605,0.87997,0.88218,-0.477206
2015-02-01,0.88459,0.88551,0.88028,0.88425,0.234646
2015-02-02,0.88207,0.88356,0.87336,0.8817,-0.28838
2015-02-03,0.87284,0.87687,0.87076,0.8728,-1.00941
2015-02-04,0.88361,0.88363,0.8726,0.88349,1.22479
2015-02-05,0.87177,0.88339,0.87138,0.87169,-1.33561
2015-02-08,0.8838,0.88718,0.88028,0.88383,1.3927
2015-02-09,0.88292,0.88687,0.88106,0.88285,-0.110881
2015-02-10,0.88343,0.88585,0.88246,0.88324,0.0441751
2015-02-11,0.88431,0.88447,0.87733,0.88402,0.0883112
2015-02-12,0.87682,0.87858,0.87336,0.87689,-0.806543
2015-02-15,0.87742,0.87742,0.87451,0.87719,0.0342118
2015-02-16,0.88233,0.88299,0.87395,0.8823,0.582542
2015-02-17,0.87681,0.88123,0.87604,0.87683,-0.619971
2015-02-18,0.87713,0.88058,0.87336,0.87719,0.041057
2015-02-19,0.87976,0.88636,0.87904,0.87976,0.292981
2015-02-22,0.87878,0.88522,0.87773,0.87862,-0.129581
2015-02-23,0.88229,0.88568,0.88126,0.88238,0.427944
2015-02-24,0.88178,0.88201,0.87812,0.88191,-0.053265
2015-02-25,0.88007,0.89264,0.87883,0.88,-0.216575
2015-02-26,0.89257,0.89471,0.88889,0.89243,1.4125
2015-03-01,0.89518,0.89574,0.88965,0.8959,0.388826
2015-03-02,0.89472,0.89638,0.89174,0.89453,-0.152919
2015-03-03,0.89413,0.90393,0.89381,0.89428,-0.0279476
2015-03-04,0.90253,0.90822,0.90018,0.90236,0.90352
2015-03-05,0.90629,0.92147,0.90629,0.90645,0.453256
2015-03-08,0.92203,0.9227,0.91659,0.922,1.71548
2015-03-09,0.92287,0.93406,0.92276,0.92307,0.116052
2015-03-10,0.93376,0.94684,0.93331,0.93382,1.16459
2015-03-11,0.94792,0.95224,0.9362,0.94798,1.51635
2015-03-12,0.94109,0.95362,0.94073,0.94106,-0.729973
2015-03-15,0.95379,0.95379,0.94215,0.95405,1.38036
2015-03-16,0.94582,0.9476,0.93905,0.94581,-0.863686
2015-03-17,0.94376,0.94513,0.93932,0.94357,-0.236834
2015-03-18,0.92217,0.94149,0.91625,0.92166,-2.32203
2015-03-19,0.93697,0.93833,0.92465,0.9373,1.69694
2015-03-22,0.9237,0.92855,0.91377,0.92365,-1.45631
2015-03-23,0.91341,0.918,0.90662,0.91366,-1.08158
2015-03-24,0.91654,0.91659,0.90802,0.91726,0.39402
2015-03-25,0.91187,0.91637,0.90537,0.91237,-0.533109
2015-03-26,0.91865,0.92547,0.91782,0.91858,0.680645
2015-03-29,0.91895,0.92497,0.9187,0.9187,0.0130636
2015-03-30,0.92344,0.93304,0.92221,0.92334,0.505062
2015-03-31,0.93101,0.93272,0.9259,0.93126,0.857756
2015-04-01,0.92852,0.93,0.91769,0.92851,-0.295299
2015-04-02,0.91988,0.92031,0.90728,0.9199,-0.927292
2015-04-05,0.90897,0.9117,0.90613,0.90898,-1.18709
2015-04-06,0.91451,0.9227,0.91278,0.91451,0.608374
2015-04-07,0.92379,0.92683,0.91827,0.92386,1.02241
2015-04-08,0.92727,0.93721,0.92678,0.92719,0.360444
2015-04-09,0.93745,0.94594,0.93602,0.93729,1.08931
2015-04-12,0.94266,0.95043,0.94162,0.94252,0.557992
2015-04-13,0.94563,0.94944,0.93398,0.94581,0.349064
2015-04-14,0.93915,0.94566,0.93732,0.93922,-0.696757
2015-04-15,0.93658,0.94091,0.92916,0.93661,-0.27789
2015-04-16,0.92937,0.93152,0.92192,0.92975,-0.732429
2015-04-19,0.92505,0.93317,0.92433,0.92505,-0.505512
2015-04-20,0.93039,0.93795,0.92894,0.93045,0.583752
2015-04-21,0.93125,0.9337,0.92593,0.93095,0.0537374
2015-04-22,0.9324,0.93709,0.92437,0.93233,0.148236
2015-04-23,0.92463,0.92698,0.9176,0.92464,-0.824815
2015-04-26,0.92018,0.92388,0.91702,0.92005,-0.496409
2015-04-27,0.91937,0.92066,0.91,0.91929,-0.0826042
2015-04-28,0.9114,0.91236,0.89477,0.91165,-0.831076
2015-04-29,0.89983,0.9031,0.88908,0.89974,-1.30642
2015-04-30,0.89166,0.89397,0.88576,0.89169,-0.894703
2015-05-03,0.89358,0.89896,0.89102,0.89398,0.256816
2015-05-04,0.89686,0.90342,0.89206,0.89693,0.329985
2015-05-05,0.8941,0.89461,0.87987,0.89395,-0.332244
2015-05-06,0.88189,0.88982,0.87792,0.88172,-1.36809
2015-05-07,0.88928,0.89404,0.88582,0.88913,0.840403
2015-05-10,0.8931,0.8981,0.89262,0.89333,0.472372
2015-05-11,0.89718,0.89799,0.88669,0.89731,0.445524
2015-05-12,0.89135,0.89242,0.87852,0.89115,-0.686496
2015-05-13,0.88121,0.88166,0.87384,0.88102,-1.13673
2015-05-14,0.87689,0.88303,0.87329,0.87681,-0.477855
2015-05-17,0.87382,0.88193,0.87359,0.87374,-0.350133
2015-05-18,0.88297,0.8992,0.88291,0.88291,1.04951
2015-05-19,0.89712,0.90369,0.8968,0.89713,1.61058
2015-05-20,0.90065,0.90205,0.89445,0.90084,0.413541
2015-05-21,0.90001,0.90851,0.89206,0.89994,-0.0999068
2015-05-24,0.90974,0.91235,0.90826,0.90967,1.08118
2015-05-25,0.91147,0.91952,0.91147,0.91148,0.198973
2015-05-26,0.91848,0.92404,0.91491,0.91837,0.755913
2015-05-27,0.9176,0.92007,0.91324,0.91743,-0.102355
2015-05-28,0.91258,0.91499,0.9088,0.91238,-0.550451
2015-05-31,0.91249,0.91837,0.91075,0.91258,0.0219207
2015-06-01,0.91552,0.9158,0.89555,0.9155,0.319972
2015-06-02,0.897,0.90197,0.88627,0.89686,-2.03605
2015-06-03,0.88792,0.89027,0.87904,0.88827,-0.957786
2015-06-04,0.89158,0.90483,0.88651,0.89223,0.44581
2015-06-07,0.90046,0.90187,0.88946,0.90024,0.897751
2015-06-08,0.88637,0.89153,0.88186,0.88645,-1.53181
2015-06-09,0.88548,0.88758,0.87858,0.88503,-0.16019
2015-06-10,0.88394,0.89375,0.88335,0.88402,-0.11412
2015-06-11,0.88928,0.89666,0.88548,0.88963,0.634601
2015-06-14,0.89143,0.89353,0.88825,0.89127,0.184346
2015-06-15,0.88676,0.89193,0.8826,0.88676,-0.506019
2015-06-16,0.88949,0.89051,0.88565,0.88952,0.311245
2015-06-17,0.87996,0.88176,0.87501,0.87951,-1.12533
2015-06-18,0.87928,0.88527,0.87812,0.87945,-0.00682198
2015-06-21,0.8801,0.8837,0.87642,0.87928,-0.0193303
2015-06-22,0.88135,0.89785,0.88135,0.88113,0.210399
2015-06-23,0.89469,0.89583,0.88968,0.89508,1.58319
2015-06-24,0.89229,0.89632,0.89094,0.8923,-0.310587
2015-06-25,0.89255,0.89796,0.89127,0.89262,0.0358624
2015-06-28,0.9105,0.9105,0.89306,0.91116,2.07703
2015-06-29,0.89158,0.89904,0.88977,0.89103,-2.20927
2015-06-30,0.89807,0.90406,0.89545,0.89807,0.790097
2015-07-01,0.90604,0.90604,0.89915,0.90632,0.918637
2015-07-02,0.90204,0.90231,0.89928,0.90196,-0.481066
2015-07-05,0.90926,0.90926,0.9016,0.9095,0.835957
2015-07-06,0.90514,0.91602,0.90476,0.90506,-0.48818
2015-07-07,0.90827,0.91116,0.9017,0.90827,0.354673
2015-07-08,0.90315,0.9072,0.89959,0.90326,-0.551598
2015-07-09,0.90391,0.90447,0.89127,0.90391,0.0719616
2015-07-12,0.89855,0.90846,0.89305,0.89855,-0.592979
2015-07-13,0.91032,0.9117,0.90302,0.90988,1.26092
2015-07-14,0.90835,0.9144,0.9058,0.90843,-0.159362
2015-07-15,0.91417,0.92086,0.91324,0.91378,0.588928
2015-07-16,0.91861,0.92218,0.91659,0.91861,0.528574
2015-07-19,0.92311,0.92408,0.91979,0.92334,0.514908
2015-07-20,0.92295,0.92484,0.91402,0.9229,-0.0476531
2015-07-21,0.91416,0.919,0.91158,0.91408,-0.955683
2015-07-22,0.91516,0.91542,0.90744,0.91516,0.118152
2015-07-23,0.91005,0.91509,0.90942,0.91,-0.563836
2015-07-26,0.91124,0.91124,0.89847,0.91138,0.151648
2015-07-27,0.90163,0.90719,0.90082,0.90171,-1.06103
